next_meeting,word_count,next_rate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1999-12-21,2459.3333333333335,5.5,0.0,0.0,0.0,0.0,0.0,0.4983290433883667,0.49959272146224976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-02,2485.5,5.75,0.0,0.0,0.15490372478961945,0.06663010269403458,0.0,0.12798738479614258,0.6482818871736526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-21,2935.1666666666665,6.0,0.0,0.0,0.0,0.02007959969341755,0.0,0.4978228509426117,0.47774621844291687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-16,2340.9166666666665,6.5,0.0,0.015012739226222038,0.0,0.0,0.007461761124432087,0.4981687068939209,0.47386252880096436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-28,1961.5,6.5,0.0,0.0,0.0,0.0,0.0,0.4976342022418976,0.49953100085258484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-22,2529.0,6.5,0.0,0.0,0.0,0.0,0.0,0.4968733489513397,0.4965769946575165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-10-03,2067.0,6.5,0.0,0.0,0.0,0.02542342245578766,0.0,0.4962586462497711,0.47031861543655396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-11-15,2275.5,6.5,0.0,0.0,0.0,0.0,0.0,0.4975399971008301,0.49715593457221985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-12-19,1810.0,6.5,0.0,0.0,0.0,0.0,0.0,0.49717453122138977,0.49956628680229187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-01-03,3232.0,6.0,0.0,0.0,0.0,0.0,0.0,0.3316551645596822,0.6661615371704102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-01-31,1992.0,5.5,0.0,0.0,0.0,0.0,0.0,0.9971380829811096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-03-20,3089.5,5.0,0.014824599027633667,0.016592416912317276,0.0,0.0,0.0,0.4987345039844513,0.46842047572135925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-04-11,2807.0,5.0,0.0,0.0,0.0,0.0,0.0,0.2492426186800003,0.7493925243616104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-05-15,2800.3333333333335,4.0,0.0,0.0,0.0,0.0,0.0,0.9977661967277527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-06-27,2643.3333333333335,3.75,0.0,0.0,0.0,0.0,0.0,0.4987347722053528,0.49962976574897766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-08-21,2359.2,3.5,0.0,0.0,0.0,0.006130476016551256,0.0,0.498206228017807,0.49352845549583435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-09-13,2585.0,3.5,0.0,0.0,0.0,0.0,0.0,0.24908052384853363,0.7493894845247269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-10-02,930.5,2.5,0.0,0.0,0.0,0.0,0.0,0.995981752872467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-11-06,1699.857142857143,2.0,0.0,0.0,0.0,0.0,0.0,0.49801984429359436,0.4962886571884155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-12-11,2381.2,1.75,0.0,0.0,0.0,0.0,0.0,0.4978959262371063,0.49956148862838745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-01-30,2192.6666666666665,1.75,0.0,0.0,0.01357987243682146,0.0,0.0,0.49832311272621155,0.4860619008541107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-03-19,2794.285714285714,1.75,0.0,0.0,0.0,0.0,0.0,0.49749818444252014,0.49725469946861267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-05-07,2771.8333333333335,1.75,0.0,0.0,0.01063176803290844,0.0,0.0,0.4988071918487549,0.47245630621910095,0.011912365444004536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-06-26,2274.0,1.75,0.0,0.0,0.016790680587291718,0.0,0.0,0.4982065260410309,0.48280569911003113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-13,2904.3333333333335,1.75,0.0,0.0,0.029614247381687164,0.00839825440198183,0.0,0.49829718470573425,0.4616547226905823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-09-24,1517.6666666666667,1.75,0.0,0.0,0.0,0.0,0.0,0.4984532594680786,0.499504417181015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-11-06,1825.6666666666667,1.25,0.0,0.0,0.008126374334096909,0.0,0.0,0.498735249042511,0.4914422333240509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-12-10,2141.6,1.25,0.0,0.0,0.016800357028841972,0.0,0.0,0.4987242519855499,0.4663030207157135,0.016587458550930023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-29,2555.0,1.25,0.0,0.0,0.0,0.0,0.0,0.4980287551879883,0.4993927776813507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
